Panola	$92,900	$997	1.07%
Parker	$170,100	$2,845	1.67%
Parmer	$83,600	$1,204	1.44%
Pecos	$69,800	$578	0.83%
Polk	$84,600	$1,009	1.19%
Potter	$88,700	$1,564	1.76%
Presidio	$61,600	$894	1.45%
Rains	$95,500	$1,311	1.37%
Randall	$151,800	$2,567	1.69%
Reagan	$85,000	$1,170	1.38%
Real	$110,600	$990	0.90%
Red River	$62,700	$755	1.20%
Reeves	$44,400	$621	1.40%
Refugio	$77,100	$1,036	1.34%
Roberts	$119,500	$1,123	0.94%
Robertson	$99,900	$1,159	1.16%
Rockwall	$206,700	$4,134	2.00%
Runnels	$75,600	$1,219	1.61%
Rusk	$107,800	$1,183	1.10%
Sabine	$80,700	$643	0.80%
San Augustine	$80,200	$602	0.75%
San Jacinto	$88,000	$1,184	1.35%
San Patricio	$97,800	$1,768	1.81%
San Saba	$80,500	$1,068	1.33%
Schleicher	$72,300	$966	1.34%
Scurry	$89,400	$1,360	1.52%
Shackelford	$76,400	$1,364	1.79%
Shelby	$74,900	$684	0.91%
Sherman	$82,900	$1,343	1.62%
Smith	$137,600	$1,853	1.35%
Somervell	$158,900	$1,445	0.91%
Starr	$66,600	$612	0.92%
Stephens	$77,500	$1,036	1.34%
Sterling	$95,100	$896	0.94%
Stonewall	$53,900	$733	1.36%
Sutton	$92,100	$1,211	1.31%
Swisher	$71,900	$1,090	1.52%
Tarrant	$148,100	$3,295	2.22%
Taylor	$107,600	$1,583	1.47%
Terrell	$64,600	$425	0.66%
Terry	$65,900	$953	1.45%
Throckmorton	$64,100	$800	1.25%
Titus	$97,200	$1,229	1.26%
Tom Green	$116,500	$1,594	1.37%
Travis	$253,600	$4,742	1.87%
Trinity	$78,000	$751	0.96%
Tyler	$81,800	$903	1.10%
Upshur	$96,500	$1,293	1.34%
Upton	$61,300	$440	0.72%
Uvalde	$78,200	$1,196	1.53%
Val Verde	$93,900	$1,358	1.45%
Van Zandt	$105,900	$1,387	1.31%
Victoria	$124,100	$2,195	1.77%
Walker	$123,600	$1,686	1.36%
Waller	$153,800	$2,312	1.50%
Ward	$82,000	$495	0.60%
Washington	$156,000	$1,969	1.26%
Webb	$110,500	$2,533	2.29%
Wharton	$107,000	$1,705	1.59%
Wheeler	$86,300	$997	1.16%
Wichita	$91,700	$1,719	1.87%
Wilbarger	$71,000	$1,213	1.71%
Willacy	$49,400	$750	1.52%
Williamson	$209,400	$4,303	2.05%
Wilson	$162,300	$2,475	1.52%
Winkler	$49,700	$584	1.18%
Wise	$132,700	$2,058	1.55%
Wood	$113,800	$1,461	1.28%
Yoakum	$81,000	$892	1.10%
Young	$86,300	$1,305	1.51%
Zapata	$60,100	$547	0.91%
Zavala	$39,800	$495	1.24%
